"Year","ID","Name","Poverty Universe","Number in Poverty","90% Confidence Interval","Percent in Poverty","90% Confidence Interval"
"2019","06099","Stanislaus County","544327","70741","62,626 to 78,856","13","11.5 to 14.5"
"2019","06101","Sutter County","96101","12310","9,844 to 14,776","12.8","10.2 to 15.4"
"2019","06103","Tehama County","64236","10484","8,349 to 12,619","16.3","13.0 to 19.6"
"2019","06105","Trinity County","12043","1986","1,494 to 2,478","16.5","12.4 to 20.6"
"2019","06107","Tulare County","460763","86940","76,005 to 97,875","18.9","16.5 to 21.3"
"2019","06109","Tuolumne County","51131","5781","4,457 to 7,105","11.3","8.7 to 13.9"
"2019","06111","Ventura County","833752","68482","59,756 to 77,208","8.2","7.2 to 9.2"
"2019","06113","Yolo County","210349","35608","32,389 to 38,827","16.9","15.4 to 18.4"
"2019","06115","Yuba County","77446","11748","9,593 to 13,903","15.2","12.4 to 18.0"
"2020","00000","United States","321478113","38371394","38,309,115 to 38,433,673","11.9","11.9 to 11.9"
"2020","06000","California","38585897","4419167","4,357,445 to 4,480,889","11.5","11.3 to 11.7"
"2020","06001","Alameda County","1631904","139636","124,941 to 154,331","8.6","7.7 to 9.5"
"2020","06003","Alpine County","1115","159","116 to 202","14.3","10.4 to 18.2"
"2020","06005","Amador County","35696","3678","2,642 to 4,714","10.3","7.4 to 13.2"
"2020","06007","Butte County","207876","35963","31,105 to 40,821","17.3","15.0 to 19.6"
"2020","06009","Calaveras County","45770","5310","4,008 to 6,612","11.6","8.8 to 14.4"
"2020","06011","Colusa County","21271","2200","1,678 to 2,722","10.3","7.8 to 12.8"
"2020","06013","Contra Costa County","1142011","82136","70,711 to 93,561","7.2","6.2 to 8.2"
"2020","06015","Del Norte County","24893","4604","3,370 to 5,838","18.5","13.5 to 23.5"
"2020","06017","El Dorado County","191502","15992","13,059 to 18,925","8.4","6.9 to 9.9"
"2020","06019","Fresno County","982375","168153","149,911 to 186,395","17.1","15.2 to 19.0"
"2020","06021","Glenn County","27891","3470","2,613 to 4,327","12.4","9.3 to 15.5"
"2020","06023","Humboldt County","131610","20847","17,684 to 24,010","15.8","13.4 to 18.2"
"2020","06025","Imperial County","171605","31134","25,516 to 36,752","18.1","14.8 to 21.4"
"2020","06027","Inyo County","17719","1940","1,460 to 2,420","10.9","8.2 to 13.6"
"2020","06029","Kern County","869814","159609","143,750 to 175,468","18.3","16.5 to 20.1"
"2020","06031","Kings County","136612","19874","15,490 to 24,258","14.5","11.3 to 17.7"
"2020","06033","Lake County","63537","10131","8,049 to 12,213","15.9","12.6 to 19.2"
"2020","06035","Lassen County","22985","3555","2,729 to 4,381","15.5","11.9 to 19.1"
"2020","06037","Los Angeles County","9778777","1289368","1,238,069 to 1,340,667","13.2","12.7 to 13.7"
"2020","06039","Madera County","150309","21211","16,814 to 25,608","14.1","11.2 to 17.0"
"2020","06041","Marin County","250180","15119","11,766 to 18,472","6","4.7 to 7.3"
"2020","06043","Mariposa County","16957","2258","1,724 to 2,792","13.3","10.1 to 16.5"
"2020","06045","Mendocino County","84811","12099","9,474 to 14,724","14.3","11.2 to 17.4"
"2020","06047","Merced County","272164","44302","37,672 to 50,932","16.3","13.9 to 18.7"
"2020","06049","Modoc County","8533","1529","1,140 to 1,918","17.9","13.3 to 22.5"
"2020","06051","Mono County","14321","1285","958 to 1,612","9","6.7 to 11.3"
"2020","06053","Monterey County","413492","47870","40,517 to 55,223","11.6","9.8 to 13.4"
"2020","06055","Napa County","131545","10356","8,387 to 12,325","7.9","6.4 to 9.4"
"2020","06057","Nevada County","98666","9040","6,987 to 11,093","9.2","7.1 to 11.3"
"2020","06059","Orange County","3124897","280128","250,223 to 310,033","9","8.0 to 10.0"
"2020","06061","Placer County","399512","25815","21,516 to 30,114","6.5","5.4 to 7.6"
"2020","06063","Plumas County","18633","2509","1,948 to 3,070","13.5","10.5 to 16.5"
"2020","06065","Riverside County","2452154","275176","253,545 to 296,807","11.2","10.3 to 12.1"
"2020","06067","Sacramento County","1537528","192386","174,271 to 210,501","12.5","11.3 to 13.7"
"2020","06069","San Benito County","63563","5025","3,778 to 6,272","7.9","5.9 to 9.9"
"2020","06071","San Bernardino County","2147438","308021","282,219 to 333,823","14.3","13.1 to 15.5"
"2020","06073","San Diego County","3229422","306807","278,323 to 335,291","9.5","8.6 to 10.4"
"2020","06075","San Francisco County","849348","85356","77,390 to 93,322","10","9.1 to 10.9"
"2020","06077","San Joaquin County","752202","104295","91,712 to 116,878","13.9","12.2 to 15.6"
"2020","06079","San Luis Obispo County","266595","28338","24,358 to 32,318","10.6","9.1 to 12.1"
"2020","06081","San Mateo County","751205","41158","34,549 to 47,767","5.5","4.6 to 6.4"
"2020","06083","Santa Barbara County","425251","44777","37,193 to 52,361","10.5","8.7 to 12.3"
"2020","06085","Santa Clara County","1879500","123516","110,546 to 136,486","6.6","5.9 to 7.3"
"2020","06087","Santa Cruz County","258306","27524","22,523 to 32,525","10.7","8.8 to 12.6"
"2020","06089","Shasta County","176159","24570","20,551 to 28,589","13.9","11.6 to 16.2"
"2020","06091","Sierra County","2877","331","243 to 419","11.5","8.4 to 14.6"
"2020","06093","Siskiyou County","42648","6086","4,646 to 7,526","14.3","10.9 to 17.7"
"2020","06095","Solano County","434844","40283","33,935 to 46,631","9.3","7.8 to 10.8"
"2020","06097","Sonoma County","481355","37609","31,002 to 44,216","7.8","6.4 to 9.2"
"2020","06099","Stanislaus County","543638","70568","60,270 to 80,866","13","11.1 to 14.9"
"2020","06101","Sutter County","95480","10984","8,778 to 13,190","11.5","9.2 to 13.8"
"2020","06103","Tehama County","63702","8467","6,529 to 10,405","13.3","10.3 to 16.3"
"2020","06105","Trinity County","11991","2162","1,620 to 2,704","18","13.5 to 22.5"
"2020","06107","Tulare County","462954","79348","67,531 to 91,165","17.1","14.5 to 19.7"
"2020","06109","Tuolumne County","50760","6158","4,752 to 7,564","12.1","9.3 to 14.9"
"2020","06111","Ventura County","829368","75060","65,865 to 84,255","9.1","8.0 to 10.2"
"2020","06113","Yolo County","209763","31066","27,868 to 34,264","14.8","13.3 to 16.3"
"2020","06115","Yuba County","78864","12816","10,532 to 15,100","16.3","13.4 to 19.2"
